nivel,departamento,municipio,dimension,indicador_id,indicador,unidad,fuente,valor
departamental,Tolima,,Impacto humano,3is_fallecidos,"Fallecidos (3iS, oficial)",Número,3iS-Sheets,0.0
departamental,Tolima,,Impacto humano,3is_heridos,"Heridos (3iS, oficial)",Número,3iS-Sheets,0.0
departamental,Tolima,,Impacto humano,3is_desaparecidos,"Desaparecidos (3iS, oficial)",Número,3iS-Sheets,0.0
departamental,Tolima,,Impacto humano,3is_rescatados,"Rescatados (3iS, oficial)",Número,3iS-Sheets,0.0
departamental,Tolima,,Impacto humano,3is_familias,"Familias afectadas (3iS, oficial)",Número,3iS-Sheets,0.0
departamental,Tolima,,Vivienda,3is_vivaveriadas,"Viviendas averiadas (3iS, oficial)",Número,3iS-Sheets,1072.0
departamental,Tolima,,Vivienda,3is_vivdestruidas,"Viviendas destruidas (3iS, oficial)",Número,3iS-Sheets,30.0
departamental,Tolima,,Vivienda,3is_colapsos,"Colapsos (3iS, oficial)",Número,3iS-Sheets,0.0
departamental,Tolima,,Salud,3is_salud,"Puntos de salud afectados (3iS, oficial)",Número,3iS-Sheets,12.0
departamental,Tolima,,Educación,3is_educativos,"Puntos educativos afectados (3iS, oficial)",Número,3iS-Sheets,196.0
departamental,Tolima,,Instituciones,3is_comunitarios,"Puntos comunitarios afectados (3iS, oficial)",Número,3iS-Sheets,71.0
departamental,Tolima,,Infraestructura,3is_vias,"Vías afectadas (3iS, oficial)",Número,3iS-Sheets,19.0
departamental,Tolima,,Infraestructura,3is_aeropuertos,"Aeropuertos afectados (3iS, oficial)",Número,3iS-Sheets,0.0
departamental,Tolima,,Infraestructura,3is_acueductos,"Acueductos afectados (3iS, oficial)",Número,3iS-Sheets,4.0
departamental,Tolima,,Vivienda,pnud_vd,Viviendas destruidas,Número,PNUD,30
departamental,Tolima,,Vivienda,pnud_va,Viviendas averiadas,Número,PNUD,1072
departamental,Tolima,,Salud,pnud_csalud,Centros de salud afectados,Número,PNUD,12
departamental,Tolima,,Educación,pnud_cedu,Centros educativos afectados,Número,PNUD,196
departamental,Tolima,,Instituciones,pnud_ccom,Centros comunitarios afectados,Número,PNUD,57
departamental,Tolima,,Vivienda,pnud_vivt_cop,Costo estimado vivienda (COP),COP,PNUD,134342475048
departamental,Tolima,,Salud,pnud_salud_cop,Costo estimado salud (COP),COP,PNUD,2894724340
departamental,Tolima,,Educación,pnud_edu_cop,Costo estimado educación (COP),COP,PNUD,132028974352
departamental,Tolima,,Instituciones,pnud_com_cop,Costo estimado comunitario (COP),COP,PNUD,45920609656
departamental,Tolima,,Infraestructura,pnud_infra_cop,Costo estimado infraestructura institucional (COP),COP,PNUD,180844308348
departamental,Tolima,,Pérdidas económicas,pnud_tot_cop,Costo total estimado (COP),COP,PNUD,315186783397
departamental,Tolima,,Escombros,undp_rapida_debris_households_m3,Escombros de vivienda (m³),m³,UNDP-RAPIDA,33871
departamental,Tolima,,Escombros,undp_rapida_debris_buildings_m3,Escombros de edificaciones (m³),m³,UNDP-RAPIDA,0
departamental,Tolima,,Escombros,undp_rapida_debris_infra_m3,Escombros de infraestructura (m³),m³,UNDP-RAPIDA,31983
departamental,Tolima,,Escombros,undp_rapida_debris_total_m3,Escombros totales (m³),m³,UNDP-RAPIDA,190208
departamental,Tolima,,Pérdidas económicas,undp_rapida_econ_dmg_households_cop,Daño económico en vivienda (COP),COP,UNDP-RAPIDA,134342475049
departamental,Tolima,,Pérdidas económicas,undp_rapida_econ_dmg_infra_cop,Daño económico en infraestructura (COP),COP,UNDP-RAPIDA,180844308348
departamental,Tolima,,Pérdidas económicas,undp_rapida_econ_dmg_total_cop,Daño económico total (COP),COP,UNDP-RAPIDA,315186783397
